Nama Produk,Harga,Gambar
Samsung Galaxy A55 5G 8/256GB - Awesome Ice Blue,5729000,OIP.jpg
Samsung Galaxy A35 5G 8/256GB - Awesome Ice Blue,4799000,A35.jpg
Samsung Galaxy S23 8GB/256GB - Phantom Black,9999000,S23.jpg
Samsung Galaxy Z Flip6 12/512GB - Silver,18999000,zflip6.jpg
Samsung Galaxy Z Fold6 12/256GB - Silver Shadow,26499000,samsung zfold.jpg
Samsung Soundbar HW-B550 2.1ch dengan Dolby Audio & Bass Boost,2199000,soundbar 2.1.jpg
Samsung Soundbar HW-B650 3.1ch dengan Dolby Audio & Bass Boost,2749000,soundbar 3.1.jpg
Samsung HD TV 32 inch UA32T4001, Wide Colour Enhancer, Dolby Digital Plus, Crystal clear view,2699000,samsung tv 32.jpg
Samsung Smart TV 43 inch UHD 4K AU7002 dengan PurColor - UA43AU7002KXXD,3299000,tv 43.jpg
Samsung Smart TV 65 inch UHD 4K AU7002 dengan PurColor - UA65AU7002KXXD,7399000,tv 65.jpg
Samsung Smart TV 50 inch QLED 4K Q60D dengan 100% Color Volume - QA50Q60DAKXXD,7999000,tv 50.jpg
Samsung Alpha Inverter AC 0,5 PK / 1/2PK - AR05AYHLAWKNSE,3569900,ac 0.5.jpg
Samsung Alpha Inverter AC 1.5 PK - AR12AYHLAWKNSE,5149900,ac 1.5.jpg
Samsung Mesin Cuci Top Loading 8 KG WA80H4200SW,2429000,mesin cuci Top.jpg
SAMSUNG Mesin Cuci Front Loading 8 Kg - WW80T3040BW/SE,4438500,mesin cuci front.jpg
Samsung VC18M2120SB/SE Canister Vacuum Cleaner,1394300,vacum cleaner.jpg
Samsung Microwave Solo, 30 L - MS30T5018UK,1729900,microwave solo.jpg
Samsung Microwave Grill, 30 L - MG30T5068CK,1829900,microwave grill.jpg
